Content Type,Slug,Title,Content ID,Course,Unit,Lesson,Lesson Order,Khan Academy URL
Article,"distance-formula","Distance formula",x26f36960,"8th grade math","Geometry","Pythagorean theorem and distance between points",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/distance-formula
Article,"distance-formula-review","Distance formula review",x8053eafb,"8th grade math","Geometry","Pythagorean theorem and distance between points",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/distance-formula-review
Article,"geometric-transformations-faq","Geometric transformations: FAQ",x039362c53ba43ce6,"8th grade math","Geometric transformations","Congruence and similarity",6,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/geometric-transformations-faq
Article,"geometry-8th-faq","Geometry: FAQ",xdc8f23d929990002,"8th grade math","Geometry","Volume",7,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/geometry-8th-faq
Article,"graphing-lines-review","Graphing lines from slope-intercept form review",xad74d1c0,"8th grade math","Linear equations and functions","Graphing slope-intercept form",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/graphing-lines-review
Article,"graphing-slope-intercept-form","Graphing slope-intercept form",x5be5f18b,"8th grade math","Linear equations and functions","Graphing slope-intercept form",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/graphing-slope-intercept-form
Article,"intercepts-of-lines-review-x-intercepts-and-y-intercepts","Intercepts of lines review (x-intercepts and y-intercepts)",x816e380d,"8th grade math","Linear equations and functions","Intercepts",7,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/intercepts-of-lines-review-x-intercepts-and-y-intercepts
Article,"introduction-to-slope-intercept-form","Intro to slope-intercept form",x4b16ff43,"8th grade math","Linear equations and functions","Intro to slope-intercept form",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/introduction-to-slope-intercept-form
Article,"linear-equations-functions-faq","Linear equations and functions: FAQ",xd8baa1fe32020b26,"8th grade math","Linear equations and functions","Linear and nonlinear functions",7,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/linear-equations-functions-faq
Article,"modeling-with-tables-equations-and-graphs","Modeling with tables, equations, and graphs",x2e7913cd,"8th grade math","Linear equations and functions","Linear models",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/modeling-with-tables-equations-and-graphs
Article,"multi-step-equations-review","Multi-step equations review",xc0cb6278,"8th grade math","Solving equations with one unknown","Equations with parentheses",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/multi-step-equations-review
Article,"number-of-solutions-to-system-of-equations-review","Number of solutions to system of equations review",xa49a6485,"8th grade math","Systems of equations","Number of solutions to systems of equations",9,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/number-of-solutions-to-system-of-equations-review
Article,"numbers-operations-faq","Numbers and operations: FAQ",x209226ee6bb88b5e,"8th grade math","Numbers and operations","Scientific notation word problems",4,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/numbers-operations-faq
Article,"reflecting-shapes","Reflecting shapes",xcb37cb7e,"8th grade math","Geometric transformations","Reflections",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/reflecting-shapes
Article,"intro-to-rotations","Rotations intro",x6a67575c,"8th grade math","Geometric transformations","Rotations",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/intro-to-rotations
Article,"scientific-notation-review","Scientific notation review",x90a6d418,"8th grade math","Numbers and operations","Scientific notation intro",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/scientific-notation-review
Article,"slope-review","Slope review",xb456eda5,"8th grade math","Linear equations and functions","Slope",14,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/slope-review
Article,"slope-intercept-form-review","Slope-intercept form review",xb62b735b,"8th grade math","Linear equations and functions","Writing slope-intercept equations",8,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/slope-intercept-form-review
Article,"solving-equations-one-unknown-faq","Solving equations with one unknown: FAQ",x1466d06cd0217ed4,"8th grade math","Solving equations with one unknown","Equations word problems",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/solving-equations-one-unknown-faq
Article,"substitution-method-review-systems-of-equations","Substitution method review (systems of equations)",xad3f862e,"8th grade math","Systems of equations","Solving systems with substitution",8,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/substitution-method-review-systems-of-equations
Article,"systems-equations-faq","Systems of equations: FAQ",xae754ae71d46c263,"8th grade math","Systems of equations","Systems of equations word problems",9,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/systems-equations-faq
Article,"translating-shapes","Translating shapes",x4007742d,"8th grade math","Geometric transformations","Translations",4,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/translating-shapes
Article,"intro-to-translations","Translations intro",xece7b16d,"8th grade math","Geometric transformations","Translations",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/intro-to-translations
Article,"writing-slope-intercept-equations","Writing slope-intercept equations",x45658579,"8th grade math","Linear equations and functions","Writing slope-intercept equations",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/a/writing-slope-intercept-equations
Exercise,"age_word_problems","Age word problems",2014,"8th grade math","Systems of equations","Systems of equations word problems",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/age_word_problems
Exercise,"recognizing-rational-and-irrational-numbers","Classify numbers: rational & irrational",x4eaeba29,"8th grade math","Numbers and operations","Irrational numbers",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/recognizing-rational-and-irrational-numbers
Exercise,"graphing-solutions-to-two-variable-linear-equations","Complete solutions to 2-variable equations",xca68546c,"8th grade math","Linear equations and functions","Solutions to linear equations",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/graphing-solutions-to-two-variable-linear-equations
Exercise,"exploring-rigid-transformations-and-congruence","Congruence & transformations",x70bbe456,"8th grade math","Geometric transformations","Congruence and similarity",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/exploring-rigid-transformations-and-congruence
Exercise,"cube_roots","Cube roots",720817477,"8th grade math","Numbers and operations","Square roots & cube roots",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/cube_roots
Exercise,"determine-reflections","Determine reflections",xdf3a8f05dc7050c2,"8th grade math","Geometric transformations","Reflections",2,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/determine-reflections
Exercise,"defining-translations","Determine translations",xdf41b006,"8th grade math","Geometric transformations","Translations",2,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/defining-translations
Exercise,"performing-dilations","Dilate points",xa5ae2f47,"8th grade math","Geometric transformations","Dilations",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/performing-dilations
Exercise,"dilations","Dilate triangles",x9801d788,"8th grade math","Geometric transformations","Dilations",2,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/dilations
Exercise,"dilations-preserved-properties","Dilations and properties",xf92c041272da13a0,"8th grade math","Geometric transformations","Dilations",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/dilations-preserved-properties
Exercise,"defining-dilations-2","Dilations: scale factor",x55264a3a,"8th grade math","Geometric transformations","Dilations",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/defining-dilations-2
Exercise,"distance_formula","Distance between two points",4514693,"8th grade math","Geometry","Pythagorean theorem and distance between points",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/distance_formula
Exercise,"multistep_equations_with_distribution","Equations with parentheses",1106131470,"8th grade math","Solving equations with one unknown","Equations with parentheses",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/multistep_equations_with_distribution
Exercise,"multi-step-equations-rational","Equations with parentheses: decimals & fractions",x799738ed,"8th grade math","Solving equations with one unknown","Equations with parentheses",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/multi-step-equations-rational
Exercise,"linear_equations_3","Equations with variables on both sides",3022,"8th grade math","Solving equations with one unknown","Equations with variables on both sides",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/linear_equations_3
Exercise,"variables-on-both-sides-rational","Equations with variables on both sides: decimals & fractions",xd718d314,"8th grade math","Solving equations with one unknown","Equations with variables on both sides",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/variables-on-both-sides-rational
Exercise,"find-angles-in-isosceles-triangles","Find angles in isosceles triangles",x7e85fcf8,"8th grade math","Geometry","Triangle angles",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/find-angles-in-isosceles-triangles
Exercise,"find-measures-using-rigid-transformations","Find measures using rigid transformations",x83acf06e0bb1fef4,"8th grade math","Geometric transformations","Properties & definitions of transformations",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/find-measures-using-rigid-transformations
Exercise,"graph-from-slope-intercept-equation","Graph from slope-intercept form",x5276cbb9,"8th grade math","Linear equations and functions","Graphing slope-intercept form",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/graph-from-slope-intercept-equation
Exercise,"graphing-linear-functions-word-problems","Graphing linear relationships word problems",x8e2f5884,"8th grade math","Linear equations and functions","Constructing linear models for real-world relationships",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/graphing-linear-functions-word-problems
Exercise,"identify-transformations","Identify transformations ",xbc7109f815e04e37,"8th grade math","Geometric transformations","Transformations intro",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/identify-transformations
Exercise,"linear-function-intercepts","Intercepts from a graph",x0c785dda,"8th grade math","Linear equations and functions","Intercepts",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/linear-function-intercepts
Exercise,"solving_for_the_x-intercept","Intercepts from an equation",371630407,"8th grade math","Linear equations and functions","Intercepts",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/solving_for_the_x-intercept
Exercise,"interpreting-linear-graphs","Linear equations word problems: graphs",xb1b4893a,"8th grade math","Linear equations and functions","Linear models",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/interpreting-linear-graphs
Exercise,"constructing-and-interpreting-linear-functions","Linear models word problems",x73fba34a,"8th grade math","Linear equations and functions","Linear models",2,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/constructing-and-interpreting-linear-functions
Exercise,"mapping-shapes","Mapping shapes",x114ce6954e61c9df,"8th grade math","Geometric transformations","Properties & definitions of transformations",2,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/mapping-shapes
Exercise,"exponent_rules","Multiply & divide powers (integer exponents)",2022,"8th grade math","Numbers and operations","Exponent properties (integer exponents)",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/exponent_rules
Exercise,"constructing-consistent-and-inconsistent-system","Number of solutions to a system of equations algebraically",xb99abb79,"8th grade math","Systems of equations","Number of solutions to systems of equations",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/constructing-consistent-and-inconsistent-system
Exercise,"graphical-solutions-to-systems","Number of solutions to a system of equations graphically",x62f8a7e5,"8th grade math","Systems of equations","Number of solutions to systems of equations",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/graphical-solutions-to-systems
Exercise,"solutions-to-linear-equations","Number of solutions to equations",x0c18d180,"8th grade math","Solving equations with one unknown","Number of solutions to equations",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/solutions-to-linear-equations
Exercise,"complete-equations-according-to-solutions","Number of solutions to equations challenge",x7a036a2f,"8th grade math","Solving equations with one unknown","Number of solutions to equations",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/complete-equations-according-to-solutions
Exercise,"powers-of-powers-int-exp","Powers of products & quotients (integer exponents)",x56abe603d0fb90f4,"8th grade math","Numbers and operations","Exponent properties (integer exponents)",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/powers-of-powers-int-exp
Exercise,"pythagorean-theorem-in-3d","Pythagorean theorem in 3D",x15318664,"8th grade math","Geometry","Pythagorean theorem application",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/pythagorean-theorem-in-3d
Exercise,"recog-func-2","Recognize functions from graphs",xe3f06745,"8th grade math","Linear equations and functions","Recognizing functions",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/recog-func-2
Exercise,"recognizing_functions","Recognize functions from tables",xe051d459,"8th grade math","Linear equations and functions","Recognizing functions",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/recognizing_functions
Exercise,"performing-reflections-on-the-coordinate-plane","Reflect points",xbdeb6941,"8th grade math","Geometric transformations","Reflections",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/performing-reflections-on-the-coordinate-plane
Exercise,"reflections-1","Reflect shapes",x53e22195,"8th grade math","Geometric transformations","Reflections",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/reflections-1
Exercise,"transformation-preserved-properties","Rigid transformations: preserved properties",xd2a53a11cb23d3c2,"8th grade math","Geometric transformations","Properties & definitions of transformations",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/transformation-preserved-properties
Exercise,"roots-of-decimals-and-fractions","Roots of decimals & fractions",xbce1cca8,"8th grade math","Numbers and operations","Square roots & cube roots",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/roots-of-decimals-and-fractions
Exercise,"exploring-angle-preserving-transformations-and-similarity","Similarity & transformations",xd977e63d,"8th grade math","Geometric transformations","Congruence and similarity",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/exploring-angle-preserving-transformations-and-similarity
Exercise,"slope-from-an-equation-in-standard-form","Slope from equation",xa7ed1000,"8th grade math","Linear equations and functions","Slope",2,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/slope-from-an-equation-in-standard-form
Exercise,"slope-from-a-graph","Slope from graph",x5106980e,"8th grade math","Linear equations and functions","Slope",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/slope-from-a-graph
Exercise,"slope-intercept-equation-from-graph","Slope-intercept equation from graph",x9243e3be,"8th grade math","Linear equations and functions","Writing slope-intercept equations",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/slope-intercept-equation-from-graph
Exercise,"slope-intercept-equation-from-two-points","Slope-intercept from two points",x2ea83e06,"8th grade math","Linear equations and functions","Writing slope-intercept equations",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/slope-intercept-equation-from-two-points
Exercise,"slope-from-an-equation-in-slope-intercept-form","Slope-intercept intro",x098c8f08,"8th grade math","Linear equations and functions","Intro to slope-intercept form",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/slope-from-an-equation-in-slope-intercept-form
Exercise,"verifying-solutions-to-systems-of-equations","Solutions of systems of equations",xf9d33a27,"8th grade math","Systems of equations","Intro to systems of equations",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/verifying-solutions-to-systems-of-equations
Exercise,"plugging_in_values","Solutions to 2-variable equations",371628196,"8th grade math","Linear equations and functions","Solutions to linear equations",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/plugging_in_values
Exercise,"square_roots","Square roots",720948123,"8th grade math","Numbers and operations","Square roots & cube roots",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/square_roots
Exercise,"graphing_systems_of_equations","Systems of equations with graphing",357485849,"8th grade math","Systems of equations","Systems of equations with graphing",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/graphing_systems_of_equations
Exercise,"systems_of_equations_with_substitution","Systems of equations with substitution",426633747,"8th grade math","Systems of equations","Solving systems with substitution",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/systems_of_equations_with_substitution
Exercise,"understanding-systems-of-equations-word-problems","Systems of equations word problems",x457f20a9,"8th grade math","Systems of equations","Systems of equations word problems",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/understanding-systems-of-equations-word-problems
Exercise,"performing-translations-on-the-coordinate-plane","Translate points",x73c74d82,"8th grade math","Geometric transformations","Translations",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/performing-translations-on-the-coordinate-plane
Exercise,"translations","Translate shapes",xe837b7c1,"8th grade math","Geometric transformations","Translations",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/e/translations
Video,"ex-1-age-word-problem","Age word problem: Arman & Diya",1242638298,"8th grade math","Systems of equations","Systems of equations word problems",2,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/ex-1-age-word-problem
Video,"ex-3-age-word-problem","Age word problem: Ben & William",1242500916,"8th grade math","Systems of equations","Systems of equations word problems",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/ex-3-age-word-problem
Video,"ex-2-age-word-problem","Age word problem: Imran",1242705398,"8th grade math","Systems of equations","Systems of equations word problems",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/ex-2-age-word-problem
Video,"proof-sum-of-measures-of-angles-in-a-triangle-are-180","Angles in a triangle sum to 180Â° proof",265540637,"8th grade math","Geometry","Triangle angles",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/proof-sum-of-measures-of-angles-in-a-triangle-are-180
Video,"another-pythagorean-theorem-proof","Another Pythagorean theorem proof",1199568849,"8th grade math","Geometry","Pythagorean theorem proofs",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/another-pythagorean-theorem-proof
Video,"bhaskara-s-proof-of-pythagorean-theorem-avi","Bhaskara's proof of the Pythagorean theorem",1199369003,"8th grade math","Geometry","Pythagorean theorem proofs",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/bhaskara-s-proof-of-pythagorean-theorem-avi
Video,"recognizing-irrational-numbers","Classifying numbers: rational & irrational",x00ce2e4a,"8th grade math","Numbers and operations","Irrational numbers",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/recognizing-irrational-numbers
Video,"comparing-features-of-functions-2","Comparing linear functions word problem: climb",x6b95f0e9,"8th grade math","Linear equations and functions","Comparing linear functions",4,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/comparing-features-of-functions-2
Video,"comparing-features-of-functions-4","Comparing linear functions word problem: walk",xda657261,"8th grade math","Linear equations and functions","Comparing linear functions",5,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/comparing-features-of-functions-4
Video,"comparing-features-of-functions-6","Comparing linear functions word problem: work",x09dee3a1,"8th grade math","Linear equations and functions","Comparing linear functions",6,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/comparing-features-of-functions-6
Video,"graphing-solutions-to-2-variable-linear-equations-1","Completing solutions to 2-variable equations",x7686ff2c,"8th grade math","Linear equations and functions","Solutions to linear equations",4,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/graphing-solutions-to-2-variable-linear-equations-1
Video,"testing-congruence-by-transformations-example","Congruent shapes & transformations",xdfa0c35c,"8th grade math","Geometric transformations","Congruence and similarity",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/testing-congruence-by-transformations-example
Video,"number-of-solutions-to-linear-equations-ex-3","Creating an equation with infinitely many solutions",xdfacc6f3,"8th grade math","Solving equations with one unknown","Number of solutions to equations",4,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/number-of-solutions-to-linear-equations-ex-3
Video,"number-of-solutions-to-linear-equations-ex-2","Creating an equation with no solutions",x62c9e8fa,"8th grade math","Solving equations with one unknown","Number of solutions to equations",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/number-of-solutions-to-linear-equations-ex-2
Video,"cylinder-volume-and-surface-area","Cylinder volume & surface area",60129395,"8th grade math","Geometry","Volume",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/cylinder-volume-and-surface-area
Video,"determining-reflections","Determining reflections",xae5156462a07bf1d,"8th grade math","Geometric transformations","Reflections",5,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/determining-reflections
Video,"defining-rotation-example","Determining rotations",x5a934725,"8th grade math","Geometric transformations","Rotations",3,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/defining-rotation-example
Video,"formal-translation-tool-example","Determining translations",x38f28d5c,"8th grade math","Geometric transformations","Translations",6,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/formal-translation-tool-example
Video,"dilating-points-example","Dilating points",xd9ea6a29c4a9812f,"8th grade math","Geometric transformations","Dilations",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/dilating-points-example
Video,"thinking-about-dilations","Dilating shapes: expanding",x1854dd51,"8th grade math","Geometric transformations","Dilations",4,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/thinking-about-dilations
Video,"scaling-down-a-triangle-by-half","Dilating shapes: shrinking by 1/2",x86399361,"8th grade math","Geometric transformations","Dilations",5,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/scaling-down-a-triangle-by-half
Video,"dilations-and-properties","Dilations and properties",xb836462d55b30b93,"8th grade math","Geometric transformations","Dilations",7,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/dilations-and-properties
Video,"dilations-intro","Dilations intro",x4095f44e644d564a,"8th grade math","Geometric transformations","Transformations intro",1,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/dilations-intro
Video,"dilation-scale-factor","Dilations: scale factor",x76dc81a4313d7166,"8th grade math","Geometric transformations","Dilations",2,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/dilation-scale-factor
Video,"distance-formula","Distance formula",23756,"8th grade math","Geometry","Pythagorean theorem and distance between points",0,https://www.khanacademy.org/math/COURSE_SLUG/UNIT_SLUG/LESSON_SLUG/v/distance-formula
